,ds,y
598,1997-05-14,232328250.0
599,1997-05-15,74595937.5
600,1997-05-16,160961706.25
601,1997-05-19,114836306.25
602,1997-05-20,148360912.5
603,1997-05-21,101811750.0
604,1997-05-22,76238400.0
605,1997-05-23,54633037.5
606,1997-05-27,130326375.0
607,1997-05-28,60997889.0625
608,1997-05-29,108528445.3125
609,1997-05-30,182515390.625
610,1997-06-02,125399946.875
611,1997-06-03,131997450.0
612,1997-06-04,89732284.375
613,1997-06-05,100035900.0
614,1997-06-06,130521262.5
615,1997-06-09,158293912.5
616,1997-06-10,106017617.1875
617,1997-06-11,146091356.25
618,1997-06-12,380190159.375
619,1997-06-13,191361121.875
620,1997-06-16,71835900.0
621,1997-06-17,183560962.5
622,1997-06-18,176115318.75
623,1997-06-19,183166757.8125
624,1997-06-20,125131682.8125
625,1997-06-23,348882046.875
626,1997-06-24,438723337.5
627,1997-06-25,419092100.0
628,1997-06-26,227596768.75
629,1997-06-27,232747671.875
630,1997-06-30,210616481.25
631,1997-07-01,156262218.75
632,1997-07-02,178155962.5
633,1997-07-03,233755893.75
634,1997-07-07,105577425.0
635,1997-07-08,312743351.5625
636,1997-07-09,490854193.75
637,1997-07-10,189541543.75
638,1997-07-11,207324665.625
639,1997-07-14,293347950.0
640,1997-07-15,276029971.875
641,1997-07-16,245746875.0
642,1997-07-17,167421187.5
643,1997-07-18,361709089.0625
644,1997-07-21,347928018.75
645,1997-07-22,397752446.875
646,1997-07-23,300102721.875
647,1997-07-24,390743115.625
648,1997-07-25,222365100.0
649,1997-07-28,262614465.625
650,1997-07-29,258057209.375
651,1997-07-30,461747168.75
652,1997-07-31,203844843.75
653,1997-08-01,671939143.75
654,1997-08-04,222691156.25
655,1997-08-05,139703175.0
656,1997-08-06,237984643.75
657,1997-08-07,347118593.75
658,1997-08-08,664185712.5
659,1997-08-11,597851843.75
660,1997-08-12,567639531.25
661,1997-08-13,644335371.875
662,1997-08-14,320732587.5
663,1997-08-15,440565571.875
664,1997-08-18,517545290.625
665,1997-08-19,353066212.5
666,1997-08-20,335963550.0
667,1997-08-21,499321056.25
668,1997-08-22,748626987.5
669,1997-08-25,358546500.0
670,1997-08-26,389786718.75
671,1997-08-27,501299296.875
672,1997-08-28,385977998.4375
673,1997-08-29,239701612.5
674,1997-09-02,680621375.0
675,1997-09-03,261035156.25
676,1997-09-04,231059040.625
677,1997-09-05,341202051.5625
678,1997-09-08,75164914.0625
679,1997-09-09,176442937.5
680,1997-09-10,332134753.125
681,1997-09-11,643409881.25
682,1997-09-12,621538125.0
683,1997-09-15,190596250.0
684,1997-09-16,661696437.5
685,1997-09-17,210483750.0
686,1997-09-18,480416681.25
687,1997-09-19,148856950.0
688,1997-09-22,311438187.5
689,1997-09-23,178150100.0
690,1997-09-24,263511528.125
691,1997-09-25,592835762.5
692,1997-09-26,377478231.25
693,1997-09-29,196949375.0
694,1997-09-30,390486000.0
695,1997-10-01,341142187.5
696,1997-10-02,247842734.375
697,1997-10-03,628154398.4375
698,1997-10-06,221032728.125
699,1997-10-07,179958050.0
700,1997-10-08,432841500.0
701,1997-10-09,350500887.5
702,1997-10-10,276878437.5
703,1997-10-13,170694090.625
704,1997-10-14,216862900.0
705,1997-10-15,251795778.125
706,1997-10-16,903741525.0
707,1997-10-17,768514753.125
708,1997-10-20,347730750.0
709,1997-10-21,509394853.125
710,1997-10-22,434363587.5
711,1997-10-23,764636118.75
